,order_id,order_date,delivery_date,customer_name,gender,age,city,state,product_id,price_per_unit,quantity,total_price,product_ID,product_type,product_name,size,colour,price,stock,description,time_arrivale,cumulative
0,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,218,106,2,212,218,Shirt,Chambray,L,orange,105,44,"A orange coloured, L sized, Chambray Shirt",25,212
1,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,481,118,1,118,481,Jacket,Puffer,S,indigo,110,62,"A indigo coloured, S sized, Puffer Jacket",25,330
2,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,2,96,3,288,2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",25,618
3,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,1002,106,2,212,1002,Trousers,Wool,M,blue,111,52,"A blue coloured, M sized, Wool Trousers",25,830
4,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,691,113,3,339,691,Jacket,Parka,S,indigo,119,53,"A indigo coloured, S sized, Parka Jacket",25,1169
5,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,981,106,3,318,981,Trousers,Wool,S,red,111,65,"A red coloured, S sized, Wool Trousers",25,1487
6,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,915,96,1,96,915,Trousers,Drawstring,XS,orange,104,41,"A orange coloured, XS sized, Drawstring Trousers",10,1583
7,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,686,113,1,113,686,Jacket,Parka,S,blue,119,72,"A blue coloured, S sized, Parka Jacket",10,1696
8,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,1091,115,3,345,1091,Trousers,Cropped,S,orange,99,78,"A orange coloured, S sized, Cropped Trousers",10,2041
9,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,1196,105,1,105,1196,Trousers,Pleated,S,orange,90,72,"A orange coloured, S sized, Pleated Trousers",10,2146
10,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,157,91,3,273,157,Shirt,Linen,M,green,116,42,"A green coloured, M sized, Linen Shirt",10,2419
11,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,1174,99,2,198,1174,Trousers,High-Waisted,XL,green,98,78,"A green coloured, XL sized, High-Waisted Trousers",10,2617
12,3,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,West Jonathanshire,Tasmania,54,104,1,104,54,Shirt,Dress,XL,green,119,52,"A green coloured, XL sized, Dress Shirt",26,2721
13,3,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,West Jonathanshire,Tasmania,6,96,2,192,6,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt",26,2913
14,3,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,West Jonathanshire,Tasmania,1010,106,2,212,1010,Trousers,Wool,XS,violet,111,80,"A violet coloured, XS sized, Wool Trousers",26,3125
15,4,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,1033,90,1,90,1033,Trousers,Relaxed Leg,L,green,95,62,"A green coloured, L sized, Relaxed Leg Trousers",13,3215
16,4,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,1184,99,3,297,1184,Trousers,High-Waisted,XL,indigo,98,57,"A indigo coloured, XL sized, High-Waisted Trousers",13,3512
17,4,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,769,109,1,109,769,Jacket,Peacoat,XL,violet,102,42,"A violet coloured, XL sized, Peacoat Jacket",13,3621
18,4,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,923,96,3,288,923,Trousers,Drawstring,L,yellow,104,68,"A yellow coloured, L sized, Drawstring Trousers",13,3909
19,4,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,12,96,2,192,12,Shirt,Oxford Cloth,M,yellow,114,56,"A yellow coloured, M sized, Oxford Cloth Shirt",13,4101
20,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,148,91,2,182,148,Shirt,Linen,L,orange,116,73,"A orange coloured, L sized, Linen Shirt",1,4283
21,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,475,118,2,236,475,Jacket,Puffer,XS,blue,110,57,"A blue coloured, XS sized, Puffer Jacket",1,4519
22,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,1,96,3,288,1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",1,4807
23,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,830,117,3,351,830,Jacket,Shearling,XS,indigo,95,68,"A indigo coloured, XS sized, Shearling Jacket",1,5158
24,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,1209,105,3,315,1209,Trousers,Pleated,XL,green,90,55,"A green coloured, XL sized, Pleated Trousers",1,5473
25,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,635,93,3,279,635,Jacket,Coach,XS,orange,115,42,"A orange coloured, XS sized, Coach Jacket",1,5752
26,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,639,93,3,279,639,Jacket,Coach,XL,orange,115,46,"A orange coloured, XL sized, Coach Jacket",1,6031
27,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,695,113,1,113,695,Jacket,Parka,XS,violet,119,59,"A violet coloured, XS sized, Parka Jacket",1,6144
28,6,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,Daughertyport,Queensland,38,104,2,208,38,Shirt,Dress,L,red,119,79,"A red coloured, L sized, Dress Shirt",26,6352
29,6,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,Daughertyport,Queensland,473,118,2,236,473,Jacket,Puffer,L,green,110,43,"A green coloured, L sized, Puffer Jacket",26,6588
30,6,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,Daughertyport,Queensland,242,106,1,106,242,Shirt,Chambray,M,violet,105,72,"A violet coloured, M sized, Chambray Shirt",26,6694
31,6,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,Daughertyport,Queensland,804,91,2,182,804,Jacket,Pullover,XL,violet,114,69,"A violet coloured, XL sized, Pullover Jacket",26,6876
